32	1.8	0	0.956091	0.666346
32	1.8	1	0.956195	0.666371
32	1.8	2	0.956038	0.666381
32	1.8	3	0.956409	0.666371
32	1.8	4	0.957285	0.666387
32	1.9	0	0.93775	0.666104
32	1.9	1	0.937539	0.666137
32	1.9	2	0.939407	0.666172
32	1.9	3	0.93763	0.666168
32	1.9	4	0.93826	0.666163
32	2	0	0.913298	0.665698
32	2	1	0.911635	0.665536
32	2	2	0.910291	0.665381
32	2	3	0.910276	0.665267
32	2	4	0.909831	0.665482
32	2.1	0	0.862009	0.662838
32	2.1	1	0.865415	0.663103
32	2.1	2	0.870141	0.663451
32	2.1	3	0.867168	0.663588
32	2.1	4	0.873039	0.664366
32	2.2	0	0.797284	0.657061
32	2.2	1	0.787511	0.654683
32	2.2	2	0.803624	0.659114
32	2.2	3	0.811028	0.660437
32	2.2	4	0.799399	0.656964
32	2.3	0	0.613969	0.610526
32	2.3	1	0.645712	0.626252
32	2.3	2	0.539026	0.549991
32	2.3	3	0.64389	0.617197
32	2.3	4	0.581614	0.584708
32	2.4	0	0.284825	0.218246
32	2.4	1	0.416698	0.514007
32	2.4	2	0.338434	0.36697
32	2.4	3	0.330485	0.387457
32	2.4	4	0.307118	0.32057
32	2.5	0	0.198183	0.152216
32	2.5	1	0.202253	0.261894
32	2.5	2	0.204759	0.165252
32	2.5	3	0.180079	-0.0566449
32	2.5	4	0.227957	0.295212
32	2.6	0	0.133949	-0.00499783
32	2.6	1	0.148753	0.0598463
32	2.6	2	0.153447	0.108852
32	2.6	3	0.157403	0.123548
32	2.6	4	0.162009	0.134755
32	2.7	0	0.122423	0.17539
32	2.7	1	0.121173	0.0236782
32	2.7	2	0.133253	0.148408
32	2.7	3	0.116635	0.101805
32	2.7	4	0.130741	0.119332
32	2.8	0	0.108997	0.0223728
32	2.8	1	0.109143	-0.0578326
32	2.8	2	0.0992102	0.0274331
32	2.8	3	0.117237	0.0575315
32	2.8	4	0.0976187	0.0753498
